Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Cuadros y motivos místicos de los Siglos XIII y XIX				1956	3	29-mar.					Motivos religiosos	NA		NA					Casona San Antonio										
Reproducciones Francesas, impresionistas y modernas				1956	4	7-abr.						NA		NA		Soffy Arboleda de Vega			Casona San Antonio										
I Galería de Pintores Colombianos Residentes en el Valle del Cauca 	Carlos Correa, Julio Abril, Hernando Tejada, Pablo Gálvez, Luis Aragón, Jesus María Espinoza, Mario Rojas, Héctor Labrada, Mireya Zawadsky, Maruja de Rengifo, Daniel Romero Lozano, Antonio Ramírez, Iván González, Rosita Carvajal, Ana de Gamboa,Hernán Muñoz.    	Carlos Correa, Julio Abril, Hernándo Tejada, Pablo Gálvez, Luis Aragón, Jesus María Espinoza, Mario Rojas, Héctor Labrada, Mireya Zawadzki, Maruja de Rengifo, Daniel Romero Lozano, Antonio Ramírez, Iván González, Rosita Carvajal, Ana de Gamboa,Hernán Muñoz    	Colombiana	1956	5	2-may.				Colectiva		Pintura		NA					Casona San Antonio										
Obras de Alejandro Obregón	Alejandro Obregón	Alejandro Obregón	Española-colombiana	1956	6	14-jun.				Individual		NA		NA	Julio Abril				Casona San Antonio										
Exposición de fotografía				1956	7	19-jul.				Temática-colectiva	Vida cotidiana	Fotografía		NA					Casona San Antonio										
Exposición de Lucy Tejada 1956	Lucy Tejada	Lucy Tejada	Colombiana	1956	10	5-oct.				Individual		Grabado		NA	Jaime Soto				Casona San Antonio										
Temas de Boca-Grande	Mireya Zawadzky	Mireya Zawadzki	Colombiana	1956	10	19-oct.				Individual		NA		NA	Alfonso Bonilla Aragón				Casona San Antonio										
Óleos y témperas de Alejandro Obregón	Alejandro Obregón	Alejandro Obregón	Española-colombiana	1956	10	26-oct.				Individual		Pintura	Óleo y témpera	NA	Emma Alder de Gamboa 				Casona San Antonio										
Exposición de caricatura				1956	11	9-nov.						Caricatura		NA	José Gers				Casona San Antonio										
Exposición de Yesid Montaña	Yesid Montaña	Yesid Montaña	Colombiana	1956	11	16-nov.				Individual		Pintura		NA	Octavio Gamboa				Casona San Antonio										
Acuarelas de Hernando Tejada y María Teresa de Patiño	Hernando Tejada,María Teresa de Patiño	Hernándo Tejada,María Teresa de Patiño	Colombiana	1956	11	27-nov.				Colectiva		Pintura	Acuarela	NA	Enrique Buenaventura				Casona San Antonio										
Exposición de Jorge Elías Triana	Jorge Elías Triana	Jorge Elías Triana	Colombiana	1956	12	13-dic.				Individual		Pintura		NA	Gustavo Camargo				Casona San Antonio										
Acuarelas y óleos de Carlos Correa	Carlos Correa	Carlos Correa	Colombiana	1957	3	1-mar.	1957-03-01			Individual		Pintura	Óleo, acuarela y pastel	NA	Néstor Sanclemente				Casona San Antonio		d2.pdf								
Pintura al Óleo del artista español José María Vidal	José María Vidal	José María Vidal	Colombiana	1957	4	6-abr.				Individual		Pintura		NA	José María Capdevila				Casona San Antonio										
Exposición de vitrales de Mona Mondineu	Mona Mondineu	Mona Mondineu	#N/A	1957	6	14-jun.				Individual		Vitral		NA	Óscar Gerardo Ramos				Casona San Antonio										
Jornadas de Mayo	Lucy Tejada, Mireya Zawadzki, Hernán Muñoz, Alfonso Vinasco, Mario Roldán, Hernándo Tejada, Carlos Ruiz, Julio Abril, Edgard Bueno, Hernando Salazar	Lucy Tejada, Mireya Zawadzki, Hernán Muñoz, Alfonso Vinasco, Mario Roldán, Hernándo Tejada, Carlos Ruiz, Julio Abril, Hernando Salazar	Colombiana	1957	7	15-jul.	1957-07-05			Colectiva		NA		NA	Carlos Garcés Córdoba			d1.txt	Casona San Antonio		d1.pdf								
Exposición de Mireya Zawadzky	Mireya Zawadzky	Mireya Zawadzki	Colombiana	1957	4	Abril				Individual		NA		NA	Carlos Garcés Córdoba				Casona San Antonio										
Pintura abstracta de Carlos Rojas	Carlos Rojas	Carlos Rojas	Colombiana	1957	11	5-nov.				Individual		Pintura		NA	José María Vivas Balcázar				Casona San Antonio										
Óleos de Ómar Rayo	Ómar Rayo	Ómar Rayo	Colombiana	1957	11	20-nov.	1957-11-20		#NUM!	Individual		Pintura		NA	Alba Inés Vivas	Dirección de Bellas Artes y Extensión Cultural del Valle		d3.txt	Casona San Antonio	0001p	d3.pdf								
Acuarelas de Dicken Castro y cerámica Lucy Tejada	Dicken Castro,Lucy Tejada	Dicken Castro,Lucy Tejada	Colombiana	1957	12	6-dic.				Colectiva		NA		NA	Lucy Morales				Casona San Antonio										
José de Rokha	José de Rokha	José de Rokha	Chilena	1958	2	7-feb.	1958-02-07	1958-02-14	7	Individual		Pintura		NA	Mireya Zawadzki	Dirección de Bellas Artes y Extensión Cultural del Valle	Waldo Vila, Víctor Carbacho, Pier Randall, Alberto Borges	d4.txt	Casona San Antonio	0002p	d4.pdf			Maritza Uribe de Urdinola, Miriam Ospina de Borrero, Soffy Arboleda, Leonor Campo de Lega, Gustavo Balcázar Monzón, Oscar Gerardo Ramos, Octavio Gamboa, Jaime Lozano Henao					
Exposición de fotografía vallecaucana	Varios	Varios	Colombiana	1958	3	7-mar.				Colectiva		Fotografía		NA	José María Vivas Balcázar				Casona San Antonio										
Exposición de pinturas de Pedro Gross (el mago "gross")	Pedro Gross	Pedro Gross	Española	1958	5	16-may.	1958-05-16			Individual		Varias		NA					Casona San Antonio		d6.pdf								
Exposición de José Luis de Figueroa	José Luis de Figueroa	José Luis de Figueroa	Española	1958	6	19-jun.	1958-06-19	1958-06-23	4	Individual		Pintura		NA	Óscar Gerardo Ramos				Casona San Antonio		d5.pdf								
Exposición de Aníbal Gil	Aníbal Gil	Aníbal Gil	Colombiana	1958	7	Julio				Individual		Pintura, Dibujo,Grabado	Óleo, acuarela, dibujo y grabado	NA	Enrique Buenaventura				Casona San Antonio										
Exposición de prensa estudiantil	Varios	Varios	Colombiana	1958	7	20-jul.				Colectiva		NA		NA					Casona San Antonio										
Exposición de acuarela chilena	Varios	Varios	Chilena	1958	10	17-oct.				Colectiva		Pintura	Acuarela	NA					Casona San Antonio										
Exposición de Carlos Ruiz 	Carlos Ruiz	Carlos Ruiz		1958	11	28-nov.				Individual		Pintura		NA	Nicolás Buenaventura				Casona San Antonio										
Exposición de dibujo infantil	Varios	Varios	Colombiana	1958	12	8-dic.				Colectiva		Dibujo		NA					Casona San Antonio										
Exposición de carteles comerciales	Varios	Varios		1958	12	13-dic.				Colectiva		Cartel		NA	Jaime Correa				Casona San Antonio										
Exposición Lucy Tejada y María Thereza Negreiros	Lucy Tejada,María Thereza Negreiros	Lucy Tejada,María Thereza Negreiros	Varias	1958	12	19-dic.				Colectiva		Dibujo,Cerámica		NA	Álvaro Navia Monedero				Casona San Antonio										
Apuntes de Viaje	Hernando Tejada	Hernándo Tejada	Colombiana	1959	5	29-may.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Jaime López Correa	Jaime López Correa	Jaime López Correa	Colombiana	1959	6	26-jun.				Individual		Pintura,Cerámica		NA					Casona San Antonio										
Exposición de libros y caricaturas españolas	Varios	Varios	Española	1959	9	7-sept.				Colectiva		Editorial,Caricatura		NA	Manuel M. Bendaño				Casona San Antonio										
Leandro Velasco	Leandro Velasco	Leandro Velasco	Colombiana	1959	10	30-oct.	1959-10-30			Individual		Pintura	Óleo, Dibujos, Vitrales	NA		Dirección de Bellas Artes y Extensión Cultural del Valle			Casona San Antonio		d13.pdf								
Arboleda	Alberto Arboleda	Alberto Arboleda	Colombiana	1959	11	6-nov.	1959-11-06			Individual		Collage,Cerámica		NA					Casona San Antonio		d11.pdf								
Exposición de carteles cinematográficos	Varios	Varios		1959	12	16-dic.				Colectiva		Cartel		NA					Casona San Antonio										
Alberto Gutiérrez	Alberto Gutiérrez	Alberto Gutiérrez	Colombiana	1960	1	22-ene.				Individual		Pintura	Óleo, Acuarela	NA			Marta Traba	d19.txt	Casona San Antonio		d19.pdf								
Exposición de Pablo Rocha	Exposción de acuarelas 	Pablo Rocha	Colombiana	1960	1	28-ene.	1960-02-08	1960-02-15	7	Individual		Pintura	Acuarela	NA				d16.txt	Casona San Antonio		d16.pdf								
16 pinturas de Juan Antonio Roda	Antonio de Roda	Juan Antonio Roda	Española-colombiana	1960	3	4-mar.	1960-03-04			Individual		Pintura	Óleo	NA					Casona San Antonio		d31.pdf								
David Manzur	David Manzur	David Manzur	Colombiana	1960	3	25-mar.				Individual		Pintura		NA			David Manzur	d12.txt	Casona San Antonio		d12.pdf								
A. Rivera G.	Augusto Rivera	Augusto Rivera	Colombiana	1960	5	6-may.	1960-05-06	1960-05-14	8	Individual		Pintura,Grabado	Acuarelas, oleos, ducos, grabados, dibujos	NA					Casona San Antonio		d14.pdf								
Oleos recientes de Marielle Muheim	Marielle Muheim	Marielle Muheim	Suiza	1960	6	7-jun.	1960-06-07			Individual		Pintura	Óleo	NA			Marta Traba	d18.txt	Casona San Antonio		d18.pdf							Sin título, Sin título	3925, 3926
Exposición de Hernando Tejada 1960	Hernando Tejada	Hernándo Tejada	Colombiana	1960	6	17-jun.				Individual		Dibujo	Crayola	NA					Casona San Antonio										
Jan Palmer y S. Crawford	Jan Palmer, S. Crawford	Jan Palmer, S. Crawford		1960	7	1-jul.	1960-07-01	1960-07-15	14	Colectiva		Pintura	Óleo	NA					Casona San Antonio		d15.pdf								
Sessano	Calero Sésamo	Carlos Sessano	Argentina	1960	7	12-jul.	1960-07-15			Colectiva		NA		NA					Casona San Antonio		d30.pdf								
Samuel Montealegre dibujos	Samuel Montealegre	Samuel Montealegre	Colombiana	1960	11	14-nov.	1960-11-04	1960-11-15	11	Individual		Pintura		NA					Casona San Antonio		d17.pdf							Los músicos de Bizancio	2124
Exposición de Leandro Velasco 1960	Leandro Velasco	Leandro Velasco	Colombiana	1960	11	15-nov.				Individual		Vitral		NA		Dirección de Bellas Artes y Extensión Cultural del Valle			Casona San Antonio										
Exposición de Elio Berhanyer	Elio Berhanyer	Elio Berhanyer		1960	12	29-dic.				Individual		Escultura		NA	Sacerdote Sendoya				Casona San Antonio										
Óleos	Saúl Balagura	Saúl Balagura		1961	1	20-ene.				Individual		Pintura	Óleo	NA	Néstor Sanclemente				Casona San Antonio		d26.pdf								
Exposición infantil intercolegial	Varios	Varios	Colombiana	1961	2	14-feb.				Colectiva		NA		NA		Air France			Casona San Antonio										
Pinturas y anti-pinturas	Miguel Cárdenas Rodríguez	Miguel Cárdenas Rodríguez	Colombiana	1961	2	17-feb.	1961-02-17			Individual		Pintura	Óleo	NA					Casona San Antonio		d25.pdf								
Exposición de Grabados	Hernán Muñoz	Hernán Muñoz		1961	3	17-mar.	1961-03-17			Individual		Grabado	Aguafuerte, Xilografía, Linóleo	NA					Casona San Antonio		d23.pdf								
Pinturas de Fanny Buitrago 	Fanny Buitrago	Fanny Buitrago	Colombiana	1961	4	14-abr.	1961-04-14			Individual		Pintura	Óleo	NA			Fanny Buitrago	d22.txt	Casona San Antonio		d22.pdf					Editorial Alonso			
Mi viaje a Israel	Emma Reyes	Emma Reyes	Colombiana	1961	5	19-may.				Individual		NA		NA					Casona San Antonio										
Exposición de Alejandro Obregón y Julio Abril	Alejandro Obregón,Julio Abril	Alejandro Obregón,Julio Abril	Varias	1961	6	3-jun.				Colectiva		Pintura,Escultura		NA					Casona San Antonio										
Emma Reyes	Emma Reyes	Emma Reyes	Colombiana	1961	7	13-jul.	1961-07-13	1961-07-24	11	Individual		Pintura		NA		Instituto de Relaciones Culturales Colombo-Israelí, Asocaña	Jacques Constant, Marcel Espion, Roland Chavenon, Celestino Goroztiza, Gonzalo Contreras, Margarita Nelken, Max Aub, Edith Recourat, Dino Caruzo, Mario Volpi, Alberto Moravia, Franco Emile, Enrico Prampolini, M. Lep, Mont, Manuel Mejía Vallejo, Germán Arciniegas, Giacomo Etna, F. Schiff, Marian Tal, Marcel Jancu, Th. Meysels, Yona Fisher, Sandro de Feo, Michel Roth	d28.txt	Casona San Antonio		d28.pdf								
Herrán - Pinturas	Álvaro Herrán	Álvaro Herrán	Colombiana	1961	10	20-oct.	1961-10-20			Individual		Pintura	Óleo	NA			Marta Traba	d27.txt	Casona San Antonio		d27.pdf								
Exposición de dibujo de los alienados de San Isidro	Varios	Varios	Colombiana	1961	11	4-nov.				Colectiva		Dibujo		NA	Dr. Carlos León				Casona San Antonio										
Pinturas 1961	Luciano Jaramillo	Luciano Jaramillo	Colombiana	1961	11	17-nov.	1961-11-17			Individual		Pintura	Óleo y témpera	NA			Walter Engel	d24.txt	Casona San Antonio		d24.pdf								
Exposición de Leandro Velasco 1961	Leandro Velasco	Leandro Velasco	Colombiana	1961	12	1-dic.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Arboleda, Martínez, Eggen	Carlos Martínez, Alberto Arboleda, Peter Eggen 	Carlos Martínez, Alberto Arboleda, Peter Eggen		1961	12	15-dic.				Colectiva		Cerámica		NA		Asocaña			Casona San Antonio		d21.pdf								
Exposición de Renée Alis	René Alis	René Alis	Cubana	1962	1	26-ene.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Exposición de pinturas de Gerardo Negret	Eduardo Negret	Gerardo Negret	Colombiana	1962	2	16-feb.	1962-02-16	1962-02-28	12	Individual		Pintura	Óleo	NA			José Ignacio Bustamante	d37.txt	Casona San Antonio		d37.pdf								
Pinturas de Armando Villegas y Cerámicas de Alicia Tafur	Armando Villegas (Perú-Colombia),Alicia Tafur (Colombia)	Armando Villegas, Alicia Tafur 	Varias	1962	3	1-mar.				Colectiva		Pintura,Cerámica		NA					Casona San Antonio		d36.pdf								
Exposición de Óscar Pantoja 1962	Óscar Pantoja	Óscar Pantoja	Boliviana	1962	3	16-mar.				Individual		Pintura		NA					Casona San Antonio	0003p									
Exposición de pintura Iiformalista española	Varios	Varios	Española	1962	4	6-abr.				Colectiva		Pintura		NA					Casona San Antonio										
Exposición de pintura colombiana	Varios	Varios	Colombiana	1962	6	18-jun.				Retrospectiva-colectiva		Pintura		NA					Casona San Antonio										
Exposición de Alberto Gutiérrez 1962	Alberto Gutiérrez	Alberto Gutiérrez	Colombiana	1962	10	19-oct.				Individual		Pintura,Collage	Óleo y collage	NA					Casona San Antonio										
Exposición de Gerardo Negret 1962	Gerardo Negret	Gerardo Negret	Colombiana	1962	11	24-nov.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Lucy Tejada y Jan Bartelsman	Lucy Tejada (Colombia),Jan Bartelsman (Holandesa-colombiana)	Lucy Tejada,Jan Bartelsman	Varias	1962	12	8-dic.				Colectiva		NA		NA					Casona San Antonio										
Exposición de carteles	Varios	Varios		1963	2	1-feb.				Colectiva		Cartel		NA		Ruly Vargas,Carmen Vargas			Casona San Antonio										
Exposición de Jan Bartelsman 1963	Jan Bartelsman	Jan Bartelsman	Holandesa-colombiana	1963	4	25-abr.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Álvaro Herrán 1963	Álvaro Herrán	Álvaro Herrán	Colombiana	1963	5	24-may.				Individual		Pintura		NA					Casona San Antonio										
Exposición-homenaje de Gerardo Negret 1963	Gerardo Negret	Gerardo Negret	Colombiana	1963	10	25-oct.				Individual		Pintura	Óleo	NA					Casona San Antonio										
XV Salón de Artistas Colombianos	Varios	Varios	Colombiana	1963	12	1-dic.				Colectiva		Varias		NA					Casona San Antonio										
Exposición de arte ecuatoriano 1964	Varios	Varios	Ecuatoriana	1964	2	7-feb.				Colectiva		Varias		NA		Galería Siglo XX de Quito			Casona San Antonio										
Exposición comparativa de afiches y estadísticas	Varios	Varios	Cubana	1964	2	24-feb.				Colectiva		Varias		NA		"Empresas norteamericanas"			Casona San Antonio										
Exposición de Maria Thereza Negreiros 1964	Maria Thereza Negreiros	María Thereza Negreiros	Brasileña-colombiana	1964	2	26-feb.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Exposición Lemaitre sobre el tema del caballero	Enrique Grau, Alejandro Obregón, Lucy Tejada, Juan Antonio Roda, Cecilia Porras, Luciano Jaramillo, Erazo,Jorge Valencia	Enrique Grau, Alejandro Obregón, Lucy Tejada, Juan Antonio Roda, Cecilia Porras, Luciano Jaramillo, Erazo,Jorge Valencia	Colombiana	1964	3	11-mar.				Temática-colectiva	Caballería	NA		NA					Casona San Antonio										
Exposición de Pedro Alcántara 1964	Pedro Alcántara	Pedro Alcántara	Colombiana	1964	4	8-abr.				Individual		Pintura,Dibujo	Témpera y dibujo	NA					Casona San Antonio										
Exposición de José Mina 1964	José Mina	José Mina	Colombiana	1964	4	24-abr.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Exposición de los pintores desterrados del 4o Festival	Varios	Varios	Colombiana	1964	7	7-jul.				Colectiva		Pintura		NA					Casona San Antonio										
Exposición de Óscar Pantoja 1964	Óscar Pantoja	Óscar Pantoja	Colombiana	1964	7	31-jul.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Exposición de Nirma Zárate 	Nirma Zárate	Nirma Zárate	Colombiana	1964	10	15-oct.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Exposición de Lucy Tejada 1964	Lucy Tejada	Lucy Tejada	Colombiana	1964	10	23-oct.				Individual		Pintura		NA					Casona San Antonio										
Exposición de María Luisa Andino	María Luisa Andino	María Luisa Andino		1964	12	13-dic.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Exposición de Jan Bartelsman y Alberto Gutiérrez	Jan Bartelsman (Holandesa-colombiana),Alberto Gutiérrez (Colombia)	Jan Bartelsman,Alberto Gutiérrez	Varias	1964	11	27-nov.				Colectiva		Pintura		NA					Casona San Antonio										
Exposición de Enrique Grau 1965	Enrique Grau	Enrique Grau	Panameña-colombiana	1965	2	12-feb.				Individual		Dibujo		NA					Casona San Antonio										
Exposición de Augusto Rivera 1965	Augusto Rivera	Augusto Rivera	Colombiana	1965	4	5-abr.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Hernando Tejada 1965	Hernando Tejada	Hernándo Tejada	Colombiana	1965	4	23-abr.				Individual		Escultura		NA					Casona San Antonio										
Exposición de Alejandro Obregón 1965	Alejandro Obregón	Alejandro Obregón	Española-colombiana	1965	7	19-jul.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Angelino Osvaldo Lauvivi	Angelino Osvaldo Lauvivi	Ángelino Osvaldo Lauvivi		1965	7	23-jul.				Individual		Varias		NA					Casona San Antonio										
Exposición de Lucy Tejada 1965	Lucy Tejada	Lucy Tejada	Colombiana	1965	7	30-jul.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Jan Bartelsman 1965	Jan Bartelsman	Jan Bartelsman	Holandesa-colombiana	1965	10	1-oct.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Beatriz González 1965	Beatriz González	Beatriz González	Colombiana	1965	12	3-dic.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Pedro Alcántara 1965	Pedro Alcántara	Pedro Alcántara	Colombiana	1965	12	17-dic.				Individual		NA		NA					Casona San Antonio										
Exposición de joyas y esmaltes bolivianos y piedras del Lago Titicaca	Varios	Varios	Boliviana	1965	12	20-dic.				Colectiva		Joyería, Esmaltería,Pedrería		NA					Casona San Antonio										
Exposición sobre el libro francés	Varios	Varios	Francesa	1966	2	7-feb.				Colectiva		Editorial		NA		Alianza Colombo-francesa			Casona San Antonio										
Exposición de Sofía Urrutia y Graciela Samper de Bermudez	Sofía Urrutia (Bolivia-Colombia),Graciela Samper de Bermúdez (Colombia)	Sofía Urrutia,Graciela Samper de Bermúdez		1966	3	25-mar.				Colectiva		Pintura,Tejido		NA					Casona San Antonio										
Antonio Grass Óleo	Antonio Grass	Antonio Grass	Colombiana	1966	4	29-abr.	1966-04-29			Individual		Pintura	Óleo	NA					Casona San Antonio		d33.pdf								
Lamiel	José Lamiel	José Lamiel	Española	1966	5	20-may.	1966-05-20	1966-05-30	10	Individual		NA		NA					Casona San Antonio										
Exposición de Jaime Mendoza	Jaime Mendoza	Jaime Mendoza		1966	6	3-jun.				Individual		NA		NA					Casona San Antonio										
Exposición de Ómar Rayo 1966	Ómar Rayo	Ómar Rayo	Colombiana	1966	6	20-jun.				Individual		Grabado		NA					Casona San Antonio										
Exposición de Gerardo Ravassa	Gerardo Ravassa	Gerardo Ravassa		1966	7	8-jul.				Individual		Dibujo		NA					Casona San Antonio										
Exposición de pintura infantil	Varios	Varios	Colombiana	1966	7	22-jul.				Colectiva		Pintura		NA					Casona San Antonio										
Exposición de Jan Bartelsman 1966	Jan Bartelsman	Jan Bartelsman	Holandesa-colombiana	1966	9	9-sept.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Enrique Grau 1966	Enrique Grau	Enrique Grau	Panameña-colombiana	1966	11	9-nov.				Individual		Pintura		NA					Casona San Antonio										
Mario Abreu	Mario Abreu	Mario Abreu	Venezolana	1966	11	18-nov.	1966-11-18	1966-11-30	12	Individual		Pintura		NA			Mario Abreu	d34.txt	Casona San Antonio		d34.pdf								
Exposición de artesanía 1966	Varios	Varios		1966	12	6-dic.				Colectiva		Artesanía		NA					Casona San Antonio										
Exposición de Aurora Brown	Aurora Brown	Aurora Brown	Peruana	1966	12	19-dic.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Maria Thereza Negreiros 1967	Maria Thereza Negreiros	María Thereza Negreiros	Brasileña-colombiana	1967	1	20-ene.				Individual		NA		NA					Casona San Antonio										
Exposición de Lucy Tejada 1967	Lucy Tejada 	Lucy Tejada 	Colombiana	1967	2	25-feb.				Individual		Pintura		NA					Casona San Antonio										
Exposición de Nereo López	Nereo López	Nereo López		1967	4	7-abr.				Individual		Fotografía 		NA					Casona San Antonio										
Exposición de Alejandro Obregón 1967	Alejandro Obregón	Alejandro Obregón	Española-colombiana	1967	7	22-jul.				Individual		NA		NA					Casona San Antonio										
Exposición de Luis Caballero 1967	Luis Caballero	Luis Caballero	Colombiana	1967	9	29-sept.				Individual		Dibujo		NA					Casona San Antonio										
Exposición de Jan Bartelsman 1967	Jan Bartelsman	Jan Bartelsman	Holandesa-colombiana	1967	10	20-oct.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Exposición de David Manzur 1967	David Manzur	David Manzur	Colombiana	1967	11	17-nov.				Individual		Pintura	Óleo	NA					Casona San Antonio										
Exposición de artesanía 1967	Carmenza Ángel, Gloria de Arellano, Giovanna De Sanctis, Sandra de González, Marlene Hoffman, Miky Bartelsman, Julia de Quintero, Sonia de Zúñiga,Piry de Patiño	Carmenza Ángel, Gloria de Arellano, Giovanna De Sanctis, Sandra de González, Marlene Hoffmann, Miky Bartelsman, Julia de Quintero, Sonia de Zúñiga,Piry de Patiño	 Colombiana	1967	12	1-dic.				Colectiva		Artesanía		NA					Casona San Antonio	0001f									
Exposición de Isabel Cuervo Casabianca	Isabel Cuervo Casabianca	Isabel Cuervo Casabianca		1967	12	1-dic.				Individual		NA		NA					Casona San Antonio										
Exposición de Mario Gordillo 1968	Mario Gordillo	Mario Gordillo	Ecuatoriana-colombiana	1968	2	2-feb.				Individual		Pintura		NA					Casona San Antonio										
Exposición de alumnas de la Academia Martenot	Varios	Varios	Colombiana	1968	3	15-mar.				Colectiva		Pintura	Óleo	NA					Casona San Antonio										
VIII Festival Nacional de Arte	Varios	Varios	Colombiana	1968	6	Junio				Colectiva		Varias		NA					Sala única										
I Salón Austral y Colombiano de Pintura	Víctor Chab, Ary Brizz, Ernesto Deira, Jorge Demirjian, Fernando Massa (Argentina), Rubens Gerchman, Abraham Palatnik, Clauco Rodrigues, Danilo Di Pietri, Carlos Vergara (Brasil), Pedro Millar Mardones, Roser Bru, José Balmes, Delia del Carril, Guillermo Núñez, Rodolfo Opaso (Chile), Agustín Alamán, Vicente Martín, Jorge Páez (Uruguay), Giancarlo Puppo (Italia-Uruguay), Pedro Alcántara, Fernando Botero, Luis Caballero, Santiago Cárdenas, Beatriz Daza, Beatriz González, Enrique Grau, Sonia Gutiérrez, Alberto Gutiérrez, Manuel Hernández, Luciano Jaramillo, Juan Manuel Lugo, David Manzur, Alfonso Mateus, Norman Mejía, Emma Reyes, Ómar Rayo, Agusto Rivera, Carlos Rojas, Bernardo Salcedo, Lucy Tejada, Hernando Tejada, Armando Villegas (Colombia), Alejandro Obregón, Juan Antonio Roda (España-Colombia), Jan Bartelsman (Holanda-Colombia), Maria Thereza Negreiros (Brasil-Colombia),Mario Gordillo (Ecuador-Colombia)	Víctor Chab, Ary Brizzi, Ernesto Deira, Jorge Demirjian, Fernando Massa , Rubens Gerchman, Abraham Palatnik, Clauco Rodrigues, Danilo Di Pietri, Carlos Vergara , Pedro Millar Mardones, Roser Bru, José Balmes, Delia del Carril, Guillermo Núñez, Rodolfo Opaso , Agustín Alamán, Vicente Martín, Jorge Páez , Giancarlo Puppo , Pedro Alcántara, Fernando Botero, Luis Caballero, Santiago Cárdenas, Beatriz Daza, Beatriz González, Enrique Grau, Sonia Gutiérrez, Alberto Gutiérrez, Manuel Hernández, Luciano Jaramillo, Juan Manuel Lugo, David Manzur, Alfonso Mateus Ortega, Norman Mejía, Emma Reyes, Ómar Rayo, Agusto Rivera, Carlos Rojas, Bernardo Salcedo, Lucy Tejada, Hernándo Tejada, Armando Villegas, Alejandro Obregón, Juan Antonio Roda, Jan Bartelsman, María Thereza Negreiros,Mario Gordillo	Varias	1968	6	Junio				Colectiva		Pintura		NA		Presidencia de la República de Colombia, Ministerio de Relaciones Exteriores,Festival Nacional de Arte	Marta Traba		Sala única	0001c									
Exposición de Santiago Cárdenas 1968	Santiago Cárdenas	Santiago Cárdenas	Colombiana	1968	9	27-sept.				Individual		Pintura,Dibujo	Óleo y dibujo	NA					Sala única	0004p									
Exposición de León Ricaurte	León Ricaurte	León Ricaurte	Ecuatoriana	1968	11	Noviembre				Individual		Dibujo		NA					Sala única										
Exposición de arte virreinal americano	Varios	Varios	Varias	1968	11	Noviembre				Colectiva		Pintura		NA		Mario Laserna			Sala única										
Exposición de artesanía 1968	Varios	Varios	Colombiana	1968	12	3-dic.			10	Colectiva		Artesanía		NA		Oficina de Turismo del Valle del Cauca			Sala única										
Pintura y Grabado Hoy en Venezuela	Alirio Rodríguez, Elsa Gramcko, Mateo Manaure, Marcel Floris, Mario Abreu, Régulo Pérez, Ómar Carreno, Teresa Casanova, Vásquez Brito, Virgilio Trompiz, Edgard Sánchez, Francisco Salazar, Guevara Moreno, Hugo Baptista, Manuel Mérida, Rafael Bogarin, Teresa Casanova, Luis Chacón, Rolando Dorrego, Annelies Feige, Gego, Luisa Palacios, José Antonio Quinteros, Maruja Rolando, Juan Santana,Elisa Elvira Zuloaga	Alirio Rodríguez, Elsa Gramcko, Mateo Manaure, Marcel Floris, Mario Abreu, Régulo Pérez, Ómar Carreno, Teresa Casanova, Vásquez Brito, Virgilio Trompiz, Édgar Sánchez, Francisco Salazar, Guevara Moreno, Hugo Baptista, Manuel Mérida, Rafael Bogarin, Teresa Casanova, Luis Chacón, Rolando Dorrego, Annelies Feige, Gego, Luisa Palacios, José Antonio Quinteros, Maruja Rolando, Juan Santana,Elisa Elvira Zuloaga	Venezolana	1968	12	Diciembre				Colectiva		Pintura		NA		Embajada de Venezuela	Roberto Guevara		Sala única	0002f									
Exposición de María Teresa Vieco	María Teresa Vieco	María Teresa Vieco	Colombiana	1969	1	31-ene.				Individual		Pintura		NA					Sala única										
Exposición de Édgar Negret 1969	Édgar Negret	Édgar Negret	Colombiana	1969	2	21-feb.				Individual		Escultura		NA					Sala única										
