Nombre Exposiciones	Artista(s)	Artistas_std	Nacionalidad	Año de la exposición	mes	Fecha de inicio de la exposición	Fecha de inicio de la exposición según soporte	Fecha de finalización de la exposición según soporte	Duración de la exposición (en días)	Tipo de exposición	Tema	Técnica	Detalles de técnica	Curaduría	Presentación de la exposición	Auspiciador(es)	Autor del material promocional de la exposición	Texto(s) del material promocional de la exposición	Sala de Exposición	Signatura	Documento de soporte	Presidente	Director	Junta Directiva	Junta Asesora	Diseño	Impresión	Obras de la coleción	Códigos de las obras
Exposición de Antonio Barrera 1987	Antonio Barrera 	Antonio Barrera 	Colombiana	1987	11	18-nov.			43 días	Individual		Pintura	Óleo	NA		Galería Fernando Quintana de Bogotá	Germán Rubiano Caballero y Miguel González		Galería-taller	0060c y 0004v									
Exposición de Mario Ossaba	Mario Ossaba	Mario Ossaba	Colombiana	1987	12	3-dic.				Individual		Pintura		NA		Museo de Antioquia	Susana Sulic		Rotatoria	0052f									
XIII Portafolio de Grabados Cartón de Colombia/AGPA	Hernando del Villar, Álvaro Peñarete, Gabriel Silva, Rangel Gutiérrez, Patricia Tavera, Jaime Osorio, Alberto Rincón, Ramón Vanegas, Yairo Mejía, María Teresa Vieco, Bibiana Vélez, Ruby Posada, Dicken Castro, Juan Obregón,Luis Eduardo Garzón Flórez	Hernándo del Villar, Álvaro Peñarete, Gabriel Silva, Rangel Gutiérrez, Patricia Tavera, Jaime Osorio, Alberto Rincón, Ramón Vanegas, Yairo Mejía, María Teresa Vieco, Bibiana Vélez, Ruby Posada, Dicken Castro, Juan Obregón,Luis Eduardo Garzón Flórez	Varias	1987	12	10-dic.			45 días	Colectiva		Grabado		NA		Cartón de Colombia S.A.			Alterna										
Muestra de pintura y escultura latino-americana de la Colección del Museo de Arte Moderno La Tertulia 1988	Ary Brizzi, Fernando Massa, Gabriel Messil, Marta Menujin, Rogelio Polesello, Liliana Porter (Argentina), Rubens Gerchman, Arcángelo Ianelli, Daniel Senise (Brasil), Agustín Fernández (Cuba), Carlos Cruz-Díez, Jesús Rafael Soto (Venezuela), Olga de Amaral, Antonio Barrera, Feliza Bursztyn, Santiago Cárdenas, Beatriz González, Enrique Grau, David Manzur, Édgar Negret, Ómar Rayo, Carlos Rojas, Bernardo Salcedo, Diego Arango, Mario Ossaba,Vivian Monsalve (Colombia)	Ary Brizzi, Fernando Massa, Gabriel Messil, Marta Minujín, Rogelio Polesello, Liliana Porter , Rubens Gerchman, Arcangelo Ianelli, Daniel Senise , Agustín Fernández, Carlos Cruz-Diez, Jesús Rafael Soto, Olga de Amaral, Antonio Barrera, Feliza Bursztyn, Santiago Cárdenas, Beatriz González, Enrique Grau, David Manzur, Édgar Negret, Ómar Rayo, Carlos Rojas, Bernardo Salcedo, Diego Arango, Mario Ossaba,Vivian Monsalve 	Varias	1988	2	Febrero				Colectiva		Pintura,Escultura		Miguel González					Sala de la Colección										
Muestra de grabado americano de la Colección del Museo de Arte Moderno La Tertulia	Varios	Varios	Varias	1988	2	Febrero				Colectiva		Grabado		Miguel González					Rotatoria										
Exposición de Lydia Azout	Lydia Azout	Lydia Azout	Colombiana	1988	3	2-mar.			45 días	Individual		Escultura		NA			J. G. Cobo Borda		Alterna	0053f									
Exposición de Ever Astudillo	Ever Astudillo	Ever Astudillo	Colombiana	1988	3	17-mar.				Individual		Pintura,Dibujo		NA			Ever Astudillo		Galería-taller	0005v									
Exposición de Maria Thereza Negreiros 1988	Maria Thereza Negreiros	María Thereza Negreiros	Brasileña-colombiana	1988	3	23-mar.				Individual		Pintura		NA			Darío Ruiz Gómez		Rotatoria	0054f									
Grabado Yugoslavo Contemporáneo	Janez Boljka, Anka Buric-Djurdjeva, Jakov Djuricic, Boris Jesih, Hysni Krasnici, Lojze Logar, Slobodan Nedeljkovic, Dusan Percinkov, Agim Salihu, Joze Spacal, Klavdij Tutta, Milica Vuckovic, Boris Zaplatil,Safet Zec	Janez Boljka, Anka Buric-Djurdjeva, Jakov Djuricic, Boris Jesih, Hysni Krasnici, Lojze Logar, Slobodan Nedeljkovic, Dusan Percinkov, Agim Salihu, Joze Spacal, Klavdij Tutta, Milica Vuckovic, Boris Zaplatil,Safet Zec	Yugoslava	1988	4	13-abr.				Colectiva		Grabado		NA		Embajada de Yugoslavia	Zoran Krzisnik		Sala de la Colección	0038p									
Una Interpretación de Caravaggio	Ana Mercedes Hoyos	Ana Mercedes Hoyos	Colombiana	1988	4	27-abr.			45 días	Individual		Grabado	Serigrafía	NA			Miguel González		Alterna	0006v									
Exposición de Efraim Martínez	Efraim Martínez	Efraim Martínez	Colombiana	1988	5	5-may.				Retrospectiva-individual		Fotografía		Miguel González		Proartes	Miguel González		Rotatoria	0061c									
Ocho Artistas Colombianos en la Colección del Museo	Édgar Negret, Enrique Grau, Manuel Hernández, Carlos Rojas, Santiago Cárdenas, Beatriz González, Luis Caballero,Pedro Alcántara	Édgar Negret, Enrique Grau, Manuel Hernández, Carlos Rojas, Santiago Cárdenas, Beatriz González, Luis Caballero,Pedro Alcántara	Colombiana	1988	5	Mayo			45 días	Colectiva		Varias		Miguel González			Miguel González		Rotatoria	0007v									
Exposición de Ana María Rueda	Ana María Rueda	Ana María Rueda	Colombiana	1988	5	12-may.				Individual		Pintura		NA			Pierre Courcelles		Galería-taller	0039p									
Gráfica Erótica de Pablo Picasso	Pablo Picasso	Pablo Picasso	Española	1988	6	2-jun.			45 días	Temática-individual	Erotismo	Grabado		NA		Galería El Museo de Bogotá,Galeria Francia de Medellin			Alterna	0008v									
Muestra de carteles cinematográficos de la Colección de la Cinemateca La Tertulia 1988	Varios	Varios	Varias	1988	6	Junio				Colectiva		Cartel		Eugenio Jaramillo					Sala de la Colección										
Exposición de Hilda Crovo	Hilda Crovo	Hilda Crovo	Argentina	1988	6	22-jun.			45 días	Individual		Pintura		NA			Rafael Squirro		Galería-taller	0009v									
Exposición de ilustraciones, diseño estructural y gráfico y fotografias del libro Los Cuentos de mi Abuelo el Coronel de Gabriel García Márquez	Varios	Varios	Varias	1988	7	Julio			60 días	Colectiva		Editorial		NA					Sala de la Colección										
Exposición de carteles de artistas españoles contemporáneos	Varios	Varios	Española	1988	8	Agosto				Colectiva		Cartel		NA					Galería-taller										
De la Edad de Piedra a los Computadores	Hans Blohm	Hans Blohm	Canadiense	1988	9	1-sept.			20 días	Individual		Fotografía		Museo Nacional de Ciencia,Tecnología de Canadá		Embajada de Canadá			Alterna										
Exposición de Jan Bartelsman 1988	Jan Bartelsman	Jan Bartelsman	Holandesa-colombiana	1988	9	6-sept.			30 días	Individual		Pintura		NA			Miguel González		Galería-taller	0055f									
Exposcición de Juan Antonio Roda 1988	Juan Antonio Roda	Juan Antonio Roda	Española-colombiana	1988	9	14-sept.			45 días	Individual		Pintura,Grabado	Óleo y grabado	NA			Santiago Cárdenas		Rotatoria	0056f									
