id_nodo	nombre_nodo	ano_apa	subclass	attr	class_nodo
a.127	Bernardo Salcedo		Colombia	3	artista
a.128	Augusto Rendón		Colombia	3	artista
a.129	Arcangelo Ianelli		Brasil	3	artista
a.130	Alberto Castro Leñero		México	3	artista
a.131	Ximena De Valdenebro		Colombia	2	artista
a.132	Vicky Neumann	1963	Colombia	2	artista
a.133	Vera Frenkel		Canadá	2	artista
a.134	Tina Celis		Colombia	1	artista
a.135	Tabo Toral		Panamá	2	artista
a.136	Sonia Gutiérrez		Colombia	2	artista
a.137	Saturnino Ramírez		Colombia	2	artista
a.138	Ruth Bessoudo Courvoisier		Brasil	2	artista
a.139	Ruby Posada		Colombia	2	artista
a.140	Rubens Gerchman		Brasil	2	artista
a.141	Ronny Vayda		Colombia	2	artista
a.142	Rolando Peña		Venezuela	2	artista
a.143	Rodrigo Facundo		Colombia	2	artista
a.144	Roberto De Lamonica		Brasil	2	artista
a.145	Risaburo Kimura		Japón	2	artista
a.146	Régulo Pérez		Venezuela	2	artista
a.147	Ramón Ferran-Pages		España	2	artista
a.148	Rafael Echeverri		Colombia	2	artista
a.149	Rafael Ortiz	1960	Colombia	2	artista
a.150	Phanor León	1944	Colombia	1	artista
a.151	Pedro Nel Gómez		Colombia	2	artista
a.152	Patricia Tavera		Colombia	2	artista
a.153	Óscar Campo	1957	Colombia	2	artista
a.154	Óscar Pantoja		Bolivia	2	artista
a.155	Olga Amaral		Colombia	2	artista
a.156	Noé Nojechowicz		Argentina	2	artista
a.157	Nirma Zarate		Colombia	2	artista
a.158	Mireille Muheim		Suiza	2	artista
a.159	Miguel Bohmer	1958	Colombia	2	artista
a.160	Mario Gordillo		Ecuador	2	artista
a.161	Mario Martin Del Campo		México	2	artista
a.162	Mario Ossaba		Colombia	2	artista
a.163	María Teresa Vieco	1953	Colombia	2	artista
a.164	Margarita Monsalve		Colombia	2	artista
a.165	Marco Ospina		Colombia	2	artista
a.166	Luz Ángela Lizarazo	1966	Colombia	2	artista
a.167	Luisa Palacios		Venezuela	2	artista
a.168	Luis Gregorio Correia		Brasil	2	artista
a.169	Luis Alberto Solari	1918	Uruguay	2	artista
a.170	Luis Guevara Moreno		Venezuela	2	artista
a.171	Luis Martínez Pedro		Cuba	2	artista
a.172	Luis Molinari-Flores		Ecuador	2	artista
a.173	Lucas Ospina	1971	Colombia	0	artista
a.174	Lorenzo Jaramillo		Colombia	2	artista
a.175	Leonilda González		Uruguay	2	artista
a.176	Leonardo Herrera		Colombia	2	artista
a.177	Julio Alpuy		Uruguay	2	artista
a.178	Juan Manuel Lugo		Colombia	2	artista
a.179	Juan Cárdenas		Colombia	2	artista
a.180	José Luis Cuevas		México	2	artista
a.181	José Balmes	1925	Chile	2	artista
a.182	José Bermúdez		Cuba	2	artista
a.183	Jorge Alberto Reyes		Colombia	2	artista
a.184	Jorge Mantilla Caballero		Colombia	2	artista
a.185	John Paul Jones	1924	Estados Unidos	2	artista
a.186	Jim Amaral		Estados Unidos	2	artista
a.187	Jaime Franco	1963	Colombia	1	artista
a.188	Jaime González		Colombia	2	artista
a.189	Jaime Valencia		Colombia	2	artista
a.190	Ivan Rickermann		Colombia	1	artista
a.191	Ignacio Gómez Pulido		Colombia	2	artista
a.192	Hilda Crovo		Argentina	2	artista
a.193	Herman Braun-Vega	1933	Perú	3	artista
a.194	H. Yoshihara		Japón	2	artista
a.195	Guillermo Trujillo		Panamá	2	artista
a.196	Gracia Barrios	1926	Chile	2	artista
a.197	Gloria Duncan		Colombia	2	artista
a.198	Germán Londoño	1961	Colombia	2	artista
a.199	Gabriel Messil		Argentina	2	artista
a.200	Fernando Botero	1932	Colombia	2	artista
a.201	Fernando Maza		Argentina	2	artista
a.202	Enrique Aguirrezabala		Argentina	2	artista
a.203	Elías Heim	1966	Colombia	2	artista
a.204	Eduardo Audivert		Argentina	2	artista
a.205	Édgar Álvarez		Colombia	2	artista
a.206	Diego Mazuera	1950	Colombiana	2	artista
a.207	David Alfaro Siqueiros	1896	México	2	artista
a.208	Danilo Dueñas		Colombia	2	artista
a.209	Dana W. Atchley		Canadá	2	artista
a.210	Cecilia Coronel		Colombia	1	artista
a.211	Cecilia Delgado		Colombia	2	artista
a.212	Carlos Jacanamijoy Tisoy	1964	Colombia	2	artista
a.213	Carlos Lersundy García		Colombia	2	artista
a.214	Carlos Salas Silva	1957	Colombia	2	artista
a.215	Bibiana Vélez	1956	Colombia	2	artista
a.216	Becky Mayer	1944	Colombia	2	artista
a.217	Beatriz Daza		Colombia	2	artista
a.218	Augusto Rivera		Colombia	2	artista
a.219	Arturo Kubotta		Perú	2	artista
a.220	Antonio Frasconi		Uruguay	2	artista
a.221	Anne Meredith Barry		Canadá	2	artista
a.222	Ángela Villegas	1974	Colombia	1	artista
a.223	Ana María Rueda	1954	Colombia	2	artista
a.224	Ana Tiscornia		Uruguay	2	artista
a.225	Allan D'Arcangelo		Estados Unidos	2	artista
a.226	Alfredo Castañeda		México	2	artista
a.227	Alfredo Guerrero	1936	Colombia	2	artista
a.228	Alexis Gorodine		Venezuela	2	artista
a.229	Alejandro Otero		Venezuela	2	artista
a.230	Aldo Menéndez		Cuba	2	artista
a.231	Alberto Lenis Burckhardt		Colombia	2	artista
a.232	Agustín Fernández		Cuba	2	artista
a.233	Adolfo Bernal		Colombia	2	artista
a.234	Zulay Herrera		Venezuela	1	artista
a.235	Yairo Mejía		Colombia	1	artista
a.236	Wilma Martins		Brasil	1	artista
a.237	William Stone		Venezuela	1	artista
a.238	William Weege		Estados Unidos	1	artista
a.239	Willem De Kooning		Estados Unidos	1	artista
a.240	Warrington Colescott		Estados Unidos	1	artista
a.241	Vlady Kibalchich		México	0	artista
a.242	Vivian Monsalve	1957	Colombia	1	artista
a.243	Virginia Amaya		Colombia	1	artista
a.244	Víctor Rebuffo		Argentina	1	artista
a.245	Víctor Valera		Venezuela	1	artista
a.246	Victor Rebuffo		Argentina	1	artista
a.247	Vicente Rojo		México	1	artista
a.248	Toshihiro Katayama		Estados Unidos	1	artista
a.249	Tony Onley		Canadá	1	artista
a.250	Tomás Gonda		Argentina	1	artista
a.251	Tino Stefanoni		Italia	1	artista
a.252	Thom O'Connor		Estados Unidos	1	artista
a.253	Tancredo De Araújo		Brasil	1	artista
a.254	Tamiji Kitagawa		Japón	0	artista
a.255	Tadeo Castro		Perú	1	artista
a.256	Susy Dembo		Venezuela	1	artista
a.257	Susana Sierra		México	1	artista
a.258	Susan Hudson		Canadá	1	artista
a.259	Sonnylal Rambissoon		Trinidad	1	artista
a.260	Sonia Von Brusky		Brasil	1	artista
a.261	Sofía Urrutia		Colombia	1	artista
a.262	Simón Gouverneur		Venezuela	1	artista
a.263	Seymour Chwast		Estados Unidos	1	artista
a.264	Servando Cabrera Moreno		Cuba	1	artista
a.265	Sefa Ferré		España	1	artista
a.266	Saúl Huerta		Venezuela	1	artista
a.267	Saúl Steinberg		Estados Unidos	1	artista
a.268	Santiago Martínez Delgado		Colombia	1	artista
a.269	Santiago Uribe Holguín		Colombia	1	artista
a.270	Samy Benmayor		Chile	1	artista
a.271	Samuel Antupit		Estados Unidos	1	artista
a.272	Samuel Montealegre		Colombia	1	artista
a.273	Sam Francis		Estados Unidos	1	artista
a.274	Ruben Nuñez		Venezuela	1	artista
a.275	Roy Lichtenstein		Estados Unidos	1	artista
a.276	Rosa Tavárez		Rep. Dominicana	1	artista
a.277	Ronald Duncan		Estados Unidos	1	artista
a.278	Rómulo Rozo		Colombia	1	artista
a.279	Rolando Paiva		Paraguay	1	artista
a.280	Rodolfo Arico		Italia	1	artista
a.281	Rodolfo Bernal		Colombia	1	artista
a.282	Rodolfo Nieto		México	1	artista
a.283	Rodolfo Sánchez		Colombia	1	artista
a.284	Roberto Aizenberg		Argentina	1	artista
a.285	Roberto Angulo		Colombia	1	artista
a.286	Roberto Cabrera		Guatemala	1	artista
a.287	Roberto Donis		México	1	artista
a.288	Roberto Pizano		Colombia	1	artista
a.289	Robert Indiana		Estados Unidos	1	artista
a.290	Robert Motherwell		Estados Unidos	1	artista
a.291	Robert Rauschenberg		Estados Unidos	1	artista
a.292	Rimer Cardillo		Uruguay	1	artista
a.293	Richard Claude Ziemann		Estados Unidos	1	artista
a.294	Richard Lindner		Estados Unidos	1	artista
a.295	Ricardo Borrero		Colombia	1	artista
a.296	Ricardo Gómez Campuzano		Colombia	1	artista
a.297	Ricardo Mesa		Chile	1	artista
a.298	Ricardo Potes Vargas		Colombia	1	artista
a.299	Ricardo Rocha		México	1	artista
a.300	Ria Zurne		Holanda	1	artista
a.301	Rebeca Navarro		Colombia	1	artista
a.302	Raúl Cattelani		Uruguay	1	artista
a.303	Raquel Forner		Argentina	1	artista
a.304	Raquel Rabinovich		Argentina	1	artista
a.305	Rangel Gutiérrez		Colombia	1	artista
a.306	Ramón Vanegas		Colombia	1	artista
a.307	Rafael Canogar		España	1	artista
a.308	Rafael Coronel		México	1	artista
a.309	Rafael Panizza		Colombia	1	artista
a.310	Rafael Tufiño		Puerto Rico	1	artista
a.311	Pol Mara		Bélgica	1	artista
a.312	Pilar Caballero		Colombia	1	artista
a.313	Pierre Aletchinsky		Bélgica	1	artista
a.314	Pierre Ayot		Canadá	1	artista
a.315	Pierre Keller		Suiza	1	artista
a.316	Philippe Leroy		Colombia	1	artista
a.317	Penny Bennet		España	1	artista
a.318	Pedro León Zapata		Venezuela	1	artista
a.319	Pedro Barreto		Venezuela	1	artista
a.320	Pedro Coronel		México	1	artista
a.321	Pedro Friedberg		México	1	artista
a.322	Patricia Bonilla	1949	Colombia	1	artista
a.323	Patricia Bravo	1966	Colombia	1	artista
a.324	Paige Abadi		Colombia	1	artista
a.325	Pablo O'higgins		México	1	artista
a.326	Pablo Runyan		Panamá	1	artista
a.327	Pablo Van Wong		Colombia	1	artista
a.328	Oswaldo Guayasamín		Ecuador	1	artista
a.329	Oswaldo Subero		Venezuela	1	artista
a.330	Oswaldo Verenzuela		Venezuela	1	artista
a.331	Oswaldo Vigas		Venezuela	1	artista
a.332	Óscar González Cerón		Colombia	1	artista
a.333	Óscar Ramos			0	artista
a.334	Óscar Smoje		Argentina	1	artista
a.335	Olga Costa		México	1	artista
a.336	Ofelia Rodríguez		Colombia	1	artista
a.337	Odetto Guersoni		Brasil	1	artista
a.338	Octavio Mendoza		Colombia	1	artista
a.339	Norberto Onofrio		Argentina	1	artista
a.340	Nja Mahdaoui		Túnez	1	artista
a.341	Nina Squires		Trinidad	1	artista
a.342	Nicolás De La Hoz		Colombia	1	artista
a.343	Nerio Quintero		Venezuela	1	artista
a.344	Nelson Sambolin		Puerto Rico	1	artista
a.345	Nelson Villalobo		Cuba	1	artista
a.346	Ned Truss		Estados Unidos	1	artista
a.347	Natalia Granada		Colombia	1	artista
a.348	Narciso Yepes			0	artista
a.349	Nadín Ospina	1960	Colombia	1	artista
a.350	Myrna Báez		Puerto Rico	1	artista
a.351	Mónika Herrán		Colombia	1	artista
a.352	Mónica Meira		Colombia	1	artista
a.353	Mónica Negret		Colombia	1	artista
a.354	Mimo Rotella		Italia	1	artista
a.355	Milton Glaser		Estados Unidos	1	artista
a.356	Milos Jonic		Francia	1	artista
a.357	Miguel Ángel Reyes	1952	Colombiana	1	artista
a.358	Miguel Ángel Rios		Argentina	1	artista
a.359	Miguel Cervantes		México	1	artista
a.360	Miguel Conti		Argentina	1	artista
a.361	Miguel Herrera		Chile	1	artista
a.362	Michel Leclair		Canadá	1	artista
a.363	Mercedes Pardo		Venezuela	1	artista
a.364	Melitón Rodríguez		Colombia	1	artista
a.365	Mauricio Bueno	1939	Ecuador	1	artista
a.366	Mauricio Lasansky		Estados Unidos	1	artista
a.367	Mathias Goeritz		México	1	artista
a.368	Mateo Manaure		Venezuela	1	artista
a.369	Massimo Vignelli		Estados Unidos	1	artista
a.370	Masayo Andrade		Colombia	1	artista
a.371	Masaaki Sato		Japón	1	artista
a.372	Marta Lucía Villafañe	1954	Colombia	1	artista
a.373	Marta Elena Vélez		Colombia	1	artista
a.374	Marta Combariza		Colombia	1	artista
a.375	Mario Carreño		Chile	1	artista
a.376	Mario Gurfein		Argentina	1	artista
a.377	Mario Radice		Italia	1	artista
a.378	Mario Toral		Chile	1	artista
a.379	Mario Zabaleta		Colombia	1	artista
a.380	Marilyn Tamkin		México	1	artista
a.381	Marietta Berman		Venezuela	1	artista
a.382	Mariana Varela		Colombia	1	artista
a.383	María Victoria Vélez		Colombia	1	artista
a.384	María Teresa Rizzi		Colombia	1	artista
a.385	María José Morales		Colombia	1	artista
a.386	María Fernanda López		Colombia	1	artista
a.387	María Clara Gómez		Colombia	1	artista
a.388	María Clara Piñeyro		Colombia	1	artista
a.389	María Girona		España	1	artista
a.390	Margot Römer		Venezuela	1	artista
a.391	Marcos Gallango		Venezuela	1	artista
a.392	Marco Tobón Mejía		Colombia	1	artista
a.393	Marcelo Bonevardi		Argentina	1	artista
a.394	Manuel Camargo		Colombia	1	artista
a.395	Manuel Chong Neto		Panamá	1	artista
a.396	Manuel Espinoza		Venezuela	1	artista
a.397	Manuel Estrada		Colombia	1	artista
a.398	Manuel Felguérez		México	1	artista
a.399	Manuel García		Cuba	1	artista
a.400	Man Ray		Estados Unidos	1	artista
a.401	Luz Donoso		Chile	1	artista
a.402	Luis Guillermo Botero		Colombia	1	artista
a.403	Luis Fernando Escobar		Colombia	1	artista
a.404	Luis Fernando Zapata		Colombia	1	artista
a.405	Luis Ángel Rengifo		Colombia	1	artista
a.406	Luis Alfonso Ramírez		Colombia	1	artista
a.407	Luis Adrián León		Venezuela	1	artista
a.408	Luis Aguilar Ponce		Panamá	1	artista
a.409	Luis Chacón		Venezuela	1	artista
a.410	Luis García Guerrero		México	1	artista
a.411	Luis Gómez -Quirós		Chile	1	artista
a.412	Luis López Loza		México	1	artista
a.413	Luis Luna		Colombia	1	artista
a.414	Luis Paz		Colombia	1	artista
a.415	Luis Roncancio		Colombia	1	artista
a.416	Luigi Veronessi		Italia	1	artista
a.417	Lucas Céspedes		Perú	1	artista
a.418	Louise Richter		Venezuela	1	artista
a.419	Louis Estremadoyro		Puerto Rico	1	artista
a.420	Lope Max Díaz Rivera		Puerto Rico	1	artista
a.421	Liliana Durán		Colombia	1	artista
a.422	Liliana Vergara		Colombia	1	artista
a.423	Leopoldo Novoa		Uruguay	1	artista
a.424	Leonora Carrington		México	1	artista
a.425	Leonor Campo De Lega		Colombia	1	artista
a.426	Leonard Baskin		Estados Unidos	1	artista
a.427	León Ricaurte Miranda		Ecuador	1	artista
a.428	Kenjilo Nanao		Estados Unidos	1	artista
a.429	Julio Augusto Zachrisson		Panamá	1	artista
a.430	Julio Camino Sánchez		Perú	1	artista
a.431	Julio Santiago		Puerto Rico	1	artista
a.432	Julio Silva		Argentina	1	artista
a.433	Julián Posada		Colombia	1	artista
a.434	Juan Manuel De La Rosa		México	1	artista
a.435	Juan Mejía	1966	Norteamericana	1	artista
a.436	Juan Antonio Bordalejo		Argentina	1	artista
a.437	Juan Dal Vera		Panamá	1	artista
a.438	Juan Fresan		Argentina	1	artista
a.439	Juan Hernández Pijoan		España	1	artista
a.440	Juan Obregón		Colombia	1	artista
a.441	Joseph Kosuth		Estados Unidos	1	artista
a.442	Josep Guinovart		España	1	artista
a.443	José María Yturralde		España	1	artista
a.444	José Luis Fajardo		España	1	artista
a.445	José Guillermo Castillo		Venezuela	1	artista
a.446	José Clemente Orozco		México	1	artista
a.447	José Antonio Dávila		Venezuela	1	artista
a.448	José Antonio Suarez		Colombia	1	artista
a.449	José Antonio Suárez Londoño		Colombia	0	artista
